OCC,CATEGORY
"0018",other
"0080",investigation
"0086",other
"0089",other
"0101",audit
"0110",audit
"0132",investigation
"0201",other
"0203",other
"0260",other
"0301",other
"0303",other
"0305",other
"0306",other
"0308",other
"0318",other
"0326",other
"0340",other
"0341",other
"0342",other
"0343",audit
"0346",other
"0391",other
"0501",other
"0503",other
"0505",other
"0510",audit
"0511",audit
"0560",other
"0602",other
"0610",other
"0671",audit
"0801",other
"0901",other
"0905",other
"0950",other
"0996",audit
"1001",other
"1008",other
"1035",other
"1082",other
"1101",other
"1102",other
"1109",other
"1160",audit
"1171",investigation
"1410",other
"1501",audit
"1515",audit
"1529",audit
"1530",audit
"1550",investigation
"1712",other
"1750",other
"1801",investigation
"1802",investigation
"1805",investigation
"1810",investigation
"1811",investigation
"2003",other
"2010",other
"2150",other
"2210",other